given_name,family_name,date_of_birth,place_of_birth
Florence,Baldwin,1893-10-27,Invergordon
Mary,Squire,1851-10-12,Omagh
Jean,Ross,1918-01-24,Peebles
Sidney,Crofts,1934-04-28,Coatbridge
Edgar,Becker,1870-09-24,Annan
Frederick,Campsill,1881-07-10,Thurso
Alice,Withnall,1844-02-19,St Andrews
George,Jones,1852-03-07,Rothesay
Thomas,Gannon,1903-06-15,Galashiels
Beatrice,Hickman,1894-06-25,Dromore
Susan,Ward,1963-09-09,Kirkcaldy
Geoffrey,Burrows,1924-07-02,Dalry
Natalie,Staples,1982-08-24,Musselburgh
Priscila,Hall,1902-11-07,Aberdeen
Gladys,Savill,1900-04-10,Port Glasgow
Charles,Campion,1846-04-24,Alloa
Frederick,Parker,1963-12-03,Cupar
George,Anstey,1910-04-26,Stonehaven
Patricia,Tranter,1920-08-12,Hamilton
Brian,Mulgrew,1936-09-11,Carluke
Francis,Jackson,1884-02-24,Milngavie
George,Hills,1851-11-11,Newtownards
David,Davids,1953-08-10,Helensburgh
Mary,Stuart,1890-05-05,Grantown-on-Spey
Robert,Barron,1955-01-19,Stornoway
Elizabeth,Elliott,1941-10-29,Falkirk
Rena,Callaghan,1959-05-25,Forres
John,Thompson,1861-02-18,St Andrews
Florence,Turner,1856-01-27,Elgin
Thomas,Postles,1882-06-22,Kirkwall
Thomas,Hutchings,1876-12-13,Dromore
Ada,Godfrey,1930-01-11,Thurso
George,Francis,1897-08-02,West Calder
Ernest,Gladwell,1879-04-09,Kinross
James,Dooley,1876-11-14,Carluke
Margaret,Topping,1962-10-10,Selkirk
Jonathan,Benton,1967-11-05,Golspie
John,Davies,1966-01-06,West Calder
Francis,Capell,1891-07-18,Thurso
Sally,Laflin,1969-06-12,Banff
Mary,Bunting,1852-04-25,Montrose
Amanda,Cartwright,1974-07-17,Galashiels
Elizabeth,Thomson,1876-07-07,Galashiels
William,Johnston,1974-03-31,Carluke
Agnes,Hughes,1865-01-06,Carluke
Sarah,Mole,1967-07-24,St Andrews
Alfred,Page,1923-04-16,Castle Douglas
Oliver,Goodall,1907-12-30,Ballymoney
Mary,Percival,1872-06-30,Dalbeattie
Elizabeth,Dean,1840-01-14,Stranraer
Male,Creyke,1881-01-26,Cookstown
Louisa,Dring,1883-04-29,Dalkeith
Jamal,Hayat,1978-01-04,Paisley
Margaret,Grieve,1913-12-04,Fraserburgh
Arthur,Thompson,1877-12-01,Londonderry
James,Harris,1982-04-23,Dumbarton
Agnes,Reilly,1911-10-27,Downpatrick
Wilfred,Roberts,1908-02-19,Keith
James,Jenkins,1850-12-15,Dufftown
Michael,Bell,1951-08-14,Motherwell
Jillian,Clark,1951-06-12,Portadown
Percy,Edge,1910-03-13,Blairgowrie
Benjamin,Hawes,1913-02-24,Galashiels
Mary,Ferguson,1884-09-03,Paisley
John,Tugwell,1950-12-04,Inverness
Christopher,Biake,1975-08-21,Linlithgow
Joseph,Cottingham,1855-10-30,Banff
David,Webb,1945-06-27,Ballymoney
Ethel,Dean,1883-12-09,Rothesay
William,Stothert,1851-10-12,Haddington
Eleanor,White,1883-04-17,Larne
Thomas,Blaber,1865-04-10,Newtownards
Thomas,Rowan,1877-07-05,Buckie
Joseph,Holmes,1898-07-25,Brechin
John,Hammond,1869-01-09,Portadown
Rose,Finch,1893-04-10,Banbridge
Eliza,Warren,1846-05-24,Belfast
Emily,Watkins,1875-01-27,Cupar
Martin,Havay,1847-11-08,Golspie
Eliza,Street,1848-03-04,Newtownards
William,Hipkiss,1860-06-04,Castle Douglas
Annie,Weston,1908-10-25,Armagh
Frederick,Avis,1944-01-15,Lisburn
Christine,Brook,1956-08-12,Ballymoney
Martha,Walker,1864-07-05,Rothesay
Selina,Britton,1876-01-31,Invergordon
Gail,Autey,1964-07-06,Dalkeith
John,Donovan,1938-11-03,Bridge of Allan
Diane,Fleming,1947-07-23,Kilsyth
Ann,Kerr,1868-12-08,Armagh
Thomas,Hollingdale,1875-11-09,Lockerbie
Dorothy,Hick,1916-12-15,Carluke
Florence,England,1892-05-01,Omagh
James,Davies,1859-06-13,Dumfries
Timothy,Cooper,1942-05-26,Alloa
Eliza,Thompson,1880-10-30,Dundee
Royston,Gray,1918-11-01,Enniskillen
Francis,Watts,1883-02-03,Lanark
Louisa,Burton,1901-02-21,Hamilton
Frank,Forster,1942-06-26,Selkirk
Eowyn,Crossley,1970-03-09,Cupar
Emily,Antell,1905-02-06,Aberdeen
Dennis,Martin,1947-02-23,Peebles
Rose,Wild,1885-04-14,Portadown
Dennis,Johnson,1918-01-15,Tillicoultry
Ellen,Upton,1862-05-23,Ayr
Sarah,Betts,1900-04-22,Kelso
Minnie,Hughes,1912-11-25,Arbroath
Eliza,Meal,1860-10-02,Stranraer
Albert,Gabriel,1902-07-13,Kirkintilloch
Jane,Cook,1843-09-14,Arbroath
Dennis,Bottomley,1923-09-21,Londonderry
Stephen,Batchelor,1963-04-17,Falkirk
Harriett,Hill,1910-10-12,Coleraine
Jean,Wilkinson,1936-06-16,Bathgate
Jeannie,Hickman,1917-12-25,Annan
Linda,Kent,1944-09-27,Edinburgh
Robert,Challinder,1861-04-17,Peebles
Mary,Withnell,1886-10-31,Castle Douglas
Bessie,Brundrett,1905-12-27,Lanark
Patricia,Purcell,1941-08-28,Milngavie
Winifred,Winstanley,1938-02-16,Annan
Timothy,Brenchley,1852-10-21,Forfar
Elizabeth,Grey,1858-08-29,Tillicoultry
Isabel,Whitta,1930-06-29,West Calder
Charles,Noke,1850-12-20,Montrose
Lilian,Crowe,1896-02-07,Huntly
Ellen,Cobb,1869-11-04,Port Glasgow
Martha,Banks,1865-10-22,Blairgowrie
James,Priddle,1934-03-15,Barrhead
Harry,Booth,1877-12-01,Dalbeattie
Henry,Ballett,1886-11-24,Stonehaven
Anne,Willis,1861-08-17,Londonderry
Edward,Davison,1854-05-31,Motherwell
George,Saunders,1878-07-29,Huntly
Elizabeth,Hollingham,1854-11-22,Selkirk
Catherine,Malkin,1973-10-15,Helensburgh
Alfred,Hood,1881-03-23,Cupar
James,Mather,1858-01-19,Keith
Elsie,Capewell,1902-06-06,Langholm
Stella,Edwards,1930-01-11,Aberdeen
Leonard,Ettridge,1930-11-26,Kirriemuir
William,Hawke,1884-07-16,Lanark
Olive,Thomas,1919-03-27,Brechin
Christine,Coe,1954-04-24,Barrhead
Maria,Cowdry,1862-04-29,Dungannon
Sarah,Pitt,1851-12-17,Annan
Julia,Adkin,1957-12-16,Rothesay
Julie,Coombs,1965-02-23,Tillicoultry
David,Fearney,1867-08-31,Cupar
Robert,Fossett,1869-05-10,Portsoy
Emily,Clement,1866-05-26,Edinburgh
Harriet,Hall,1899-08-03,Linlithgow
Fanny,Dufosee,1857-01-02,Carluke
Amelia,Stansfield,1858-08-06,Coatbridge
Margaret,Cowley,1905-08-30,Kilmarnock
Charles,Pilcher,1852-11-08,Stirling
Arthur,Biss,1879-10-13,Elgin
Kate,Jones,1972-02-14,Lanark
Harold,Gossling,1878-03-11,Belfast
Evelyn,Thornley,1905-06-13,Annan
Leslie,Larchet,1947-02-25,Wishaw
Eunice,Molyneux,1893-12-03,Kinross
Marian,Glover,1930-04-14,Selkirk
Caroline,Quinlan,1977-02-13,Dingwall
Elizabeth,Davies,1877-09-07,Hawick
Susan,Tarling,1951-12-27,Port Glasgow
James,Vernon,1950-12-13,Tillicoultry
Wenda,Boniface,1943-04-11,Dunfermline
Elizabeth,White,1888-01-27,Fraserburgh
Kenneth,Rayner,1951-05-10,Kirkintilloch
Lynda,Fitch,1945-08-20,Lerwick
Elizabeth,Hunt,1848-01-23,Forfar
Ann,Bingham,1932-09-16,Dalry
Percy,Mitchem,1892-10-02,Wishaw
Andrew,Wheaver,1964-12-04,Peterhead
Linda,Burton,1951-07-17,Downpatrick
Ellen,Hardwick,1885-08-09,Kirkcaldy
James,Hunter,1901-05-02,Selkirk
Ellen,Parkinson,1838-06-02,Alloa
Leila,Harman,1903-02-22,Forres
Harriet,Sherwood,1881-03-09,Dromore
Oliver,Hollands,1845-02-10,Helensburgh
Henry,Hills,1842-02-08,Leven
James,Robinson,1877-06-26,Anstruther
Samuel,Hill,1878-07-20,Castle Douglas
George,Mullard,1915-11-09,Castle Douglas
Fred,Lambert,1885-03-14,Crieff
William,Jones,1891-10-28,Keith
George,King,1917-07-08,Dingwall
Mary,Tipping,1915-02-16,Golspie
Sheila,West,1934-04-20,Glasgow
George,Balding,1858-11-27,Kilmarnock
Cecil,Hill,1898-06-13,Dromore
John,Thomas,1845-10-01,Glasgow
Carly,Holmes,1976-04-27,Campbeltown
Robert,De main,1874-01-16,Kelso
Nancy,Underwood,1932-11-30,Belfast
Gary,Thompson,1961-03-07,Irvine
Albert,Birch,1907-07-04,Dalkeith
Elsie,Jones,1915-08-31,Bangor
Emma,Brown,1858-12-22,Newry
Christopher,Horner,1980-05-20,Stranraer
Guy,Cogan,1959-01-29,Keith
George,Pymm,1889-07-17,Omagh
John,Dike,1863-12-22,Milngavie
Stephen,Moran,1954-07-10,Paisley
Edward,Bolton,1886-10-09,Arbroath
Ethel,Birch,1902-01-10,Dromore
Nigel,Cottrell,1955-12-03,Port Glasgow
Frank,Clark,1902-06-20,Strabane
Ellis,Yells,1896-10-03,Keith
James,Solly,1928-02-19,Montrose
Charles,Strong,1847-12-29,Musselburgh
Thomas,Spencer,1838-12-01,Montrose
Amelia,Covell,1876-11-10,Wick
Philip,Taubenheim,1957-07-06,Kirkwall
George,Young,1934-06-26,Barrhead
Adam,Morgan,1977-04-10,Leven
Gertrude,Harmer,1879-10-05,Dromore
Martyn,Wilkins,1982-09-04,Kelso
Victor,Leighton,1950-05-19,Aberdeen
Evelyn,Murphy,1924-06-20,Elgin
Eleanor,Marren,1892-03-12,Brechin
Pauline,Kelly,1942-11-24,Kirriemuir
Elizabeth,Mcloughlin,1875-03-26,Kirkintilloch
David,Benjamin,1913-03-04,Greenock
Mary,Powel,1846-08-25,Stonehaven
Mary,Evans,1871-02-02,Thurso
Teresa,Riley,1932-02-27,Dumbarton
James,Bagwell,1880-01-14,Anstruther
Lucy,Lenton,1863-09-25,Dumfries
Paul,Ralph,1963-08-21,Invergordon
Paul,Hill,1957-11-23,Helensburgh
Harry lewis,Billson,1858-07-31,Enniskillen
Susanna,Thompson,1866-01-22,Blairgowrie
Herbert,Wilson,1868-04-10,Ballymena
John,Boyle,1926-08-04,Dalkeith
Denis,Mcglynn,1922-08-29,Castle Douglas
Margaret,Coyle,1850-03-17,Coatbridge
Thomas,Clough,1846-04-30,Barrhead
Keith,Bettany,1941-05-31,Arbroath
Jeanette,Prior,1959-09-12,Campbeltown
Elsie,Hollyoak,1914-01-12,Kirkintilloch
Kirstin,Steenson,1971-07-10,St Andrews
John,Manwaring,1844-04-29,Bellshill
Marjorie,Wadsworth,1912-03-07,Langholm
Thomas,Watson,1905-09-11,Aberdeen
Vivian,Bloomfield,1917-05-12,Arbroath
Martha,Rees,1841-01-07,Haddington
Harriet,Angliss,1883-05-04,Kirkcaldy
Martha,Thatcher,1865-12-17,Portadown
Harry,Blackford,1891-01-18,Paisley
Sheila,Simpson,1932-08-23,Dumbarton
John,Cook,1883-03-08,Jedburgh
Anne,Walker,1952-03-10,Belfast
Thomas,Dixon,1862-01-10,Annan
Mary,Murrall,1853-09-10,Banbridge
John,Richards,1929-04-16,Dalbeattie
Jonathan,Howlett,1983-01-05,Barrhead
Dennis,Smith,1930-06-23,Campbeltown
Benjamin,Ferguson,1925-03-02,Clydebank
Edgar,Williams,1915-03-02,Airdrie
Robert,Williams,1850-03-24,Armagh
Grace,Anderson,1883-11-21,Peterhead
John,Holmes,1959-07-04,Peebles
David,Corbett,1947-12-16,Banff
Constance,Satchell,1893-09-18,Downpatrick
Edward,Bradley,1855-04-27,Fraserburgh
John,Peake,1878-08-26,Huntly
Sarah,Hardcastle,1945-02-25,Cupar
Jennifer,Metcalf,1974-04-11,Kirkcaldy
Nicholas,Treble,1959-11-06,Peterhead
William,Whale,1871-06-02,Buckie
Frank,Bayley,1871-08-24,Lerwick
Debra,Poole,1969-05-13,Kirriemuir
Valerie,Alway,1939-03-23,Keith
Emma,Brothwood,1962-07-07,Stranraer
Viola,Sankey,1887-05-20,Carluke
Marie,Barnes,1953-05-22,Ardrossan
Gilbert,Cole,1894-11-21,Barrhead
Samuel,Beaven,1885-10-07,Londonderry
Peter,Hanford,1921-05-13,Kirriemuir
Philip,Windle,1952-03-10,Kirkintilloch
Thomas,Humphries,1875-09-24,Bathgate
Harry,Bridges,1914-05-15,Glasgow
Louisa,Skelton,1881-02-06,Omagh
Arthur,Monkman,1892-02-01,Annan
Nellie,Lisnry,1896-06-15,Lockerbie
Stanley,Wall,1926-12-22,Forres
Linda,Saul,1950-01-13,Barrhead
Betty,Beaumont,1851-01-02,Linlithgow
Annie,Evans,1905-04-20,Castle Douglas
George,Kenwright,1925-09-17,Fraserburgh
Alice,Archer,1868-06-04,Kirkwall
Rebecca,Gardner,1981-01-09,Nairn
Reuben,Hayes,1918-02-21,Lerwick
Gladys,Cable,1907-10-14,Portsoy
Selina,Read,1845-05-08,Crieff
Stephen,Ball,1952-05-12,Stranraer
Anthony,Lansley,1960-01-26,Invergordon
Brenda,Upton,1948-03-26,Kelso
Charles,Gregory,1871-11-26,Wishaw
William,Reynolds,1899-06-02,Port Glasgow
Francis,Davies,1883-09-04,Dalkeith
Thelma,Whitehead,1936-05-04,Banbridge
Mary,Davies,1889-04-12,Dalbeattie
Sarah,Dixon,1910-12-25,Dumfries
Leslie,Snow,1952-06-21,Crieff
William,Nie,1899-03-30,Lockerbie
Mira,Orsi,1864-02-25,Tillicoultry
Ethel,Davies,1897-10-13,Dunfermline
Willie,Stephens,1872-02-06,Motherwell
Denise,Bellerby,1948-07-02,Ballymena
Frank,Healey,1956-04-29,Portsoy
Lilian,Raggatt,1893-05-29,Dumfries
Charles,Byrne,1951-04-10,Falkirk
Adrian,Stimpson,1966-12-18,Dungannon
Gail,Rogers,1980-04-11,Brechin
James,Lewington,1860-01-24,Dunfermline
Edna,Willsher,1932-06-10,Kilsyth
Suzanne,Rich,1978-01-05,Bathgate
Albert,Bateman,1887-01-11,Brechin
Peter,Jones,1955-01-24,Kilsyth
Louisa,Holmes,1969-03-07,Nairn
George,Ridgway,1910-10-21,Lockerbie
Helen,Lappage,1962-05-01,Irvine
Sydney,Riley,1916-05-19,Omagh
Gail,Wright,1952-05-02,Kirkintilloch
Helen,Smith,1875-09-30,Campbeltown
Ethel,Baker,1895-11-14,Omagh
Rhoda,Frith,1904-09-03,Haddington
George,Wagstaff,1846-09-14,Helensburgh
Douglas,Aulton,1896-09-09,Wishaw
Doreen,Cockayne,1932-07-30,Campbeltown
Leonard,Westbury,1903-07-19,Tillicoultry
John,Fearn,1899-09-29,Belfast
Sandra,Hawley,1948-06-17,Ballymena
Ian,Marsh,1959-06-21,Kirriemuir
Rita,Hardcastle,1936-01-07,Hawick
Sidney,Plowman,1900-09-25,Dumfries
Eliza,Howard,1898-01-03,Forres
Ada,Evans,1908-05-14,Linlithgow
Ellis,Glover,1872-02-27,Glasgow
Gladys,Oliver,1923-05-19,Lerwick
Alice,Higgins,1928-08-14,Clydebank
Frances,Smith,1884-05-31,Wick
Arthur,Coppard,1909-05-16,Stranraer
John,Garratt,1900-09-08,Lerwick
John,Bruffell,1858-08-21,West Calder
Harold,Edwards,1900-09-20,Dundee
James,Davis,1893-06-14,Thurso
Patricia,Hewett,1939-06-02,Banff
Samuel,Dawson,1955-04-15,Newry
Frank,Stickland,1907-03-17,Kilsyth
Thomas,Staples,1867-11-28,Portadown
Male,Jackson,1848-11-12,Ballymena
Doris,Kerrison,1914-01-31,Newry
Elisha,Godwin,1880-03-26,Anstruther
Stephanie,Hadlum,1957-05-08,Selkirk
Sarah,Jarvis,1968-07-14,Airdrie
Fred,Jesson,1886-06-11,Kirkwall
Minnie,Emmerson,1897-10-27,Glasgow
Tracy,Robertson,1975-11-12,Jedburgh
Derek,Hammersley,1946-12-30,Lurgan
Ellin,Griffiths,1889-08-29,Lisburn
Frederick,Wynne,1875-08-04,Paisley
James,Lomas,1943-06-26,Downpatrick
John,Neligan,1952-01-16,Newtownards
Jane,Elliott,1947-11-05,Strabane
Jonathan,Adams,1978-12-17,Dunfermline
Adrian,Searl,1956-01-26,Brechin
Louisa,Wilson,1858-01-02,Hamilton
Kate,Ponsford,1872-03-31,Ballymoney
Laura,Self,1865-03-30,Dromore
Samuel,Day,1885-11-29,Annan
Rupinder,Mangat,1972-10-12,Newry
Olive,Gillingham,1886-02-14,Musselburgh
Samuel,Basford,1840-11-13,Elgin
Violet,Williamson,1884-02-03,Galashiels
Lorraine,Foster,1972-07-05,Linlithgow
John,Bean,1914-12-11,Brechin
Catherine,Roberts,1866-08-14,Dalry
Sarah,Tomkins,1852-09-28,Omagh
Constance,Davey,1855-08-10,Dalkeith
Linda,Horrell,1953-11-20,Cookstown
Nicholas,Gascoyne,1976-11-07,Armagh
Tammy,Strudwick,1976-03-11,Lisburn
Robert,Rock,1952-03-07,Stirling
William,Bolton,1850-04-21,Forfar
Blanche,North,1874-11-15,Airdrie
Peter,Forster,1883-07-29,Peterhead
Thomas,Wright,1852-09-04,Thurso
Amy,Lines,1899-01-08,Galashiels
Kate,Fitzmaurice,1863-11-20,Selkirk
Frederick,Bignold,1883-02-09,Downpatrick
Kelly,Windebank,1976-06-18,Brechin
Felix,Shires,1958-03-24,Dumfries
Edward,Broadgate,1890-06-30,Cupar
Peter,Williams,1976-07-19,Bangor
William,Brimblecombe,1907-11-14,Kirkintilloch
Barbara,Ballard,1956-01-10,Dumfries
Hilda,Barnes,1918-07-27,Cookstown
George,Farmiloe,1859-04-28,Dungannon
Esther,Hampton,1897-11-26,Belfast
Lisa,Parkinson,1971-02-03,Paisley
Anne,Desborough,1943-12-28,Invergordon
Zena,Millard,1908-06-07,Kelso
Richard,Hedge,1838-01-24,Thurso
Steven,Wilson,1962-10-31,Cookstown
Elsie,Wordsworth,1896-09-22,Cupar
Catherine,Kearney,1874-10-29,Belfast
Agnes,Barker,1901-02-12,Kilsyth
Margaret,Chapman,1945-04-07,Portsoy
Melanie,Hudson,1967-04-13,Perth
Martin,Webb,1951-09-27,Newry
Brian,Donnelly,1937-06-26,Invergordon
Sofia,Thatcher,1970-03-29,Wick
Danielle,Norman,1979-04-12,Portsoy
Roy,Massey,1966-09-22,Strabane
Ann,Hicks,1842-03-18,Lurgan
Maria,Jones,1884-07-15,Leven
Sharon,Wagg,1964-05-18,Larne
Vera,Clay,1917-11-25,Stranraer
Martha,Hall,1853-03-27,Oban
John,Erwin,1866-10-03,Armagh
Fred,Brader,1938-04-01,Crieff
Veronica,Moore,1952-12-24,Hamilton
Parminder,Bhui,1981-02-02,Perth
Harry,Dawson,1865-07-29,Lerwick
Samuel,Hardcastle,1871-08-04,Bridge of Allan
Roger,Moore,1960-12-11,Dumbarton
Roberta,Lawler,1975-03-15,Kirkcaldy
Gertrude,Kirby,1891-04-14,Bathgate
Lillian,Dimmock,1916-05-14,Kirkwall
Deborah,Day,1968-09-11,Larne
John,Turner,1952-04-11,Ardrossan
Gary,Harbottle,1970-07-02,Cupar
Giles,Archibald,1951-11-17,Stranraer
Eva,Cordell,1895-03-11,Portsoy
Dora,Newell,1882-03-23,Motherwell
John,Bradley,1946-07-29,Forres
Lilian,Kashnor,1908-06-15,Banbridge
Kevin,Russell,1964-05-01,Armagh
Hannah,Croker,1864-10-01,Fraserburgh
John,Herbert,1880-01-02,Dungannon
John,Dickinson,1920-01-11,Stranraer
William,Mcnalty,1861-06-22,Carluke
John,Handley,1870-11-25,Dunfermline
Eleanor,Wilkes,1873-10-18,Coatbridge
Michael,Hunt,1958-03-24,Annan
Marjorie,Hudson,1920-11-06,Blairgowrie
Ben,Toohey,1975-10-18,Airdrie
Brenda,Lincoln,1930-06-27,Portadown
Eleanora,Slaney,1926-08-03,Cookstown
Joseph,Rohan,1909-03-25,Banbridge
Mary,Johnson,1875-12-28,Omagh
James,Butterworth,1864-08-13,Downpatrick
John,Pickup,1882-05-16,Portsoy
Kenneth,Robson,1966-03-23,Kinross
Elsie,Dye,1913-05-27,Bridge of Allan
Victor,Nicholson,1916-12-22,Lerwick
Janet,Webb,1927-04-12,Forfar
Nikola,Roe,1972-11-26,Port Glasgow
Sally,Ormrod,1933-10-19,Armagh
Esther,Salter,1880-03-28,Larne
Maria,Jenkins,1862-12-16,Perth
Rees,Price,1854-03-13,Selkirk
John,Swanborough,1935-08-31,Newtownards
Oscar,White,1915-04-11,Dumfries
Wendy,Carpenter,1951-06-08,Clydebank
Joan,Perks,1941-03-24,Linlithgow
John,Massey,1906-12-13,Cupar
Mandeep,Padan,1981-09-07,Dunfermline
Irene,Brown,1968-02-15,Lerwick
Charles,Fisk,1882-03-14,Dungannon
Lilian,Ames,1891-12-26,Invergordon
Anne,Fisher,1938-09-16,Dungannon
Leslie,Hamill,1953-11-25,Nairn
George,Barker,1861-08-09,Linlithgow
Jean,Hutton,1938-04-04,Forres
June,Freestone,1941-03-24,Kirkcaldy
Alice,Needham,1905-02-19,Stirling
Rose,Catesby,1850-11-01,Edinburgh
Thomas,Lewis,1868-06-18,Newry
Sarah,Clark,1885-06-02,Lurgan
Stanley,Broadley,1915-08-10,Dundee
Samuel,Wolfindale,1914-07-16,Barrhead
James,Brook,1868-12-01,Dumbarton
Annie,Cooper,1893-03-24,Campbeltown
William,Travis,1891-04-28,Londonderry
George,Thompson,1959-07-24,Lanark
Christine,Bowyer,1949-03-08,Peebles
Stephen,Lunn,1881-09-15,Tillicoultry
Sarah,Matthews,1852-05-27,Alloa
Alan,Allwood,1955-05-15,Bellshill
Diana,Cooper,1943-12-14,Haddington
Beryl,Willetts,1929-09-28,Aberdeen
Jenine,Gale,1974-08-21,Dumfries
John,Naylor,1934-06-12,Newton Stewart
George,Porch,1855-04-25,Enniskillen
Alice,Hind,1881-01-09,Golspie
William,Hogan,1971-09-23,Strabane
Derek,Overthrow,1965-08-11,Glasgow
Tom,Whitman,1890-12-10,Downpatrick
John,Harvey,1876-05-14,Lockerbie
Thomas,Mason,1851-12-16,Londonderry
Sidney,Seymour,1924-02-05,Tillicoultry
Roy,Tilley,1935-05-18,Strabane
Caroline,Murphy,1871-04-23,Banbridge
Maurice,Cobby,1925-09-28,Keith
Harry,Vernam,1870-03-22,Selkirk
Maria,Johnston,1885-01-30,Lisburn
Gertrude,Hulbert,1875-02-22,Motherwell
Alex,Oldale,1982-05-21,Coleraine
Evelyn,Gill,1891-10-26,Falkirk
Lily,Lineham,1905-11-11,Armagh
James,Willder,1881-06-06,Fraserburgh
Susan,Hordle,1951-04-30,Bathgate
Christine,Curry,1965-05-19,Jedburgh
Cyril,Little,1903-08-11,Barrhead
Vanessa,Daw,1971-04-06,Newtownards
Thomas,Woodman,1869-01-22,Stornoway
Alice,Beecroft,1879-05-03,Tillicoultry
Sidney,Robinson,1865-09-04,Paisley
Bernard,Webster,1945-08-28,Armagh
Lorren,Purvis,1962-02-20,Oban
Victoria,Guthrie,1970-07-06,Kirkcaldy
Gloria,Robinson,1950-03-14,Clydebank
William,Hatchman,1883-12-14,Dumbarton
Lewis,West,1878-01-10,Downpatrick
Alice,Pedder,1850-12-18,Kilmarnock
Simeon,Eyres,1913-08-07,Blairgowrie
Joseph,Ball,1909-01-31,Stranraer
Maggie,Dickinson,1904-12-16,Annan
Horace,Briden,1881-06-12,Ballymoney
Mary,Grenfell,1841-10-22,Kelso
George,Wildman,1906-04-09,Irvine
Elizabeth,Temple,1951-05-08,Kirkintilloch
John,Davis,1851-08-19,Bangor
Emily,Gardner,1890-03-04,Lurgan
Alfred,Wilkinson,1866-07-31,Kelso
James,Shilton,1929-03-08,Newtownards
Maureen,Paveling,1935-01-30,Larne
Ernest,Smith,1894-09-23,Kinross
Molly,Bell,1922-05-04,Coleraine
Arnold,Fernley,1904-04-22,Downpatrick
William,Riley,1895-06-05,Newry
Neil,Skene,1959-12-27,Lurgan
Kathleen,Bateman,1928-01-04,Carrickfergus
Deborah,Carling,1965-02-20,Blairgowrie
Jane,Earl,1868-03-02,Omagh
Dorothy,Prestidge,1921-05-21,Kilmarnock
Hannah,Scott,1887-02-16,Leven
James,Parry,1961-04-24,Wick
David,Hanton,1958-11-06,Banbridge
